Region;Age_Cat;Gender_1male;Degree_Cat;Farm_size_Cat;ProductionUse_selling;Farm_type_Conventional;Farm_type_Intergrated;Farm_type_Organic;Farm_type_Biodynamic;Income_Cat;Proportion_of_income;Production_level_1to3;Crop_Group_Cat;Legislative_requirements;Own_phone;Years_own_phone;Use_DSS_App;Agricultural_app_use_Cat;Computer_at_home;Speed_internet_Cat;Potencial_user_of_platform;Prefered_access_Phone;Prefered_access_PC;Prefered_access_Advisor;Willing_to_try_new_products_Cat;Price_important_factor;DSS_are_more_suited_for_ShortTermDecision_1;DSS_are_more_suited_for_LongTermDecision_2;Prefered_type_Web_1;Prefered_type_Software_2;Importance_of_easy_to_use_1to3;Importance_of_efficient_1to3;Importance_low_price_1to3;Importance_polyvalence_1to3;Enjoy_using_new_techs_1to3;Appreciate_change_1to3;Trust_in_DSS_1to3;Trust_in_colleague_advice_1to3;Trust_advice_friend_1to3;Need_IT_teaching_Cat;CL_Output_preference_Graphical_1;CL_Output_preference_Textual_2;CL_Output_preference_Both_3;Share_DSS_exp_with_colleague_Cat;Use_DSS_from_trusted_sources_Always;WTP_for_DSS_Cat;DSS_must_be_tailored_for_your_farm_Cat;Use_same_DSS_than_advisor_Cat;Age_of_DSS_user_at_the_farm_1;Age_of_DSS_user_at_the_farm_2;Age_of_DSS_user_at_the_farm_3;Marketing_info_about_DSS_Cat;Manufacturer_demo_of_DSS_Cat;DSS_can_improve_your_productivity_Cat;Already_used_DSS
south_EU;4;1;1;5;1;1;1;0;0;?;0;3;1;1;1;0;1;2;1;3;0;?;?;?;2;0;?;?;?;?;?;?;?;?;?;3;1;1;1;1;?;?;?;2;?;1;1;?;?;?;?;1;1;1;0
south_EU;4;1;2;4;1;1;0;0;0;2;0;2;2;?;1;0;?;?;1;2;?;?;?;?;?;?;?;?;?;?;?;?;?;?;3;3;2;1;1;2;?;?;?;2;?;1;2;?;0;1;0;2;2;3;?
south_EU;2;1;2;5;1;1;0;0;0;2;100;3;1;1;1;10;1;2;1;2;0;1;1;1;1;1;1;0;1;0;3;3;2;3;1;1;2;2;2;2;0;0;1;1;?;2;2;1;?;?;?;2;2;3;0
south_EU;2;1;2;4;1;0;0;0;0;5;90;3;1;1;1;10;0;?;1;2;0;1;0;0;1;1;0;1;0;1;3;2;1;2;2;2;1;1;1;2;0;0;1;?;?;3;2;?;1;0;0;?;1;3;0
south_EU;2;1;2;5;1;0;1;0;0;5;0;2;2;1;1;10;1;3;1;2;1;1;0;0;1;1;1;0;1;0;3;3;1;2;2;1;1;1;1;2;0;0;1;3;1;3;2;2;1;0;0;2;2;3;1
south_EU;1;1;2;2;1;1;0;0;0;1;100;3;1;0;1;5;1;2;1;3;0;0;0;1;2;1;1;0;0;1;3;3;3;3;2;2;1;2;2;1;0;0;1;2;1;2;3;2;0;1;0;1;2;2;1
south_EU;1;1;2;3;1;1;0;0;0;1;100;3;1;0;1;5;1;1;1;2;0;0;0;1;2;1;1;0;0;1;2;2;2;2;3;2;2;2;2;2;0;0;1;2;0;2;1;1;1;0;0;2;1;3;1
south_EU;2;1;4;5;0;1;0;0;0;2;51;2;2;0;1;15;1;1;1;3;1;1;0;0;2;1;0;1;1;0;3;3;2;1;3;2;1;1;2;2;1;0;0;1;1;2;2;?;1;0;0;2;2;4;1
south_EU;2;1;2;5;1;1;0;0;0;1;100;3;1;?;1;0;1;2;1;2;1;1;0;0;2;0;0;1;1;0;1;1;1;1;2;2;2;2;2;2;1;0;0;2;1;1;2;1;0;1;0;2;2;2;1
south_EU;3;1;2;4;1;1;0;0;0;3;100;3;1;1;1;0;1;3;1;3;0;1;0;0;2;1;1;0;0;1;3;3;3;3;2;1;1;1;1;2;0;1;0;2;0;2;2;1;0;1;0;2;2;2;0
south_EU;5;1;4;5;0;0;1;0;0;3;60;3;1;1;1;25;1;3;1;3;0;?;?;?;?;0;1;1;1;0;2;2;2;2;3;2;1;2;2;1;0;0;1;3;0;2;3;?;?;?;?;?;2;3;0
south_EU;4;1;2;4;1;1;0;0;0;1;100;3;2;1;1;0;1;2;1;3;0;1;0;0;2;1;0;1;0;1;1;1;1;2;3;3;1;2;2;1;1;0;0;2;0;1;2;1;1;0;0;1;1;2;0
south_EU;4;1;1;4;1;0;1;0;0;5;80;3;1;1;1;20;1;3;1;1;0;1;1;0;2;1;0;1;0;1;2;3;1;2;1;2;1;1;1;2;0;0;1;1;?;1;3;?;?;?;?;?;1;3;0
south_EU;2;1;4;5;1;1;0;0;0;4;100;3;1;1;1;15;1;2;1;2;0;0;1;0;2;1;0;1;0;1;3;2;2;2;1;2;1;2;1;2;0;0;1;2;?;1;1;1;?;?;?;1;1;2;0
south_EU;2;1;3;4;1;1;0;0;0;1;100;3;2;0;1;10;1;1;1;3;1;1;0;0;2;1;1;0;1;0;3;3;2;3;2;1;1;2;1;2;0;1;0;2;1;2;1;1;0;1;0;3;1;3;1
south_EU;2;1;2;4;1;0;0;1;0;3;90;2;2;1;1;10;1;1;1;3;0;1;0;0;2;1;0;1;0;1;1;2;2;3;3;2;1;2;1;1;0;0;1;?;?;2;3;?;?;?;?;?;1;2;0
south_EU;2;1;2;4;1;0;0;1;0;5;70;2;1;1;1;10;1;1;1;3;1;1;0;0;1;1;0;1;0;1;3;3;3;3;2;2;1;2;2;2;0;0;1;3;1;1;3;1;1;0;0;2;2;3;1
south_EU;3;1;2;5;0;0;0;1;0;5;100;3;2;1;1;10;1;2;1;1;1;1;0;0;2;1;0;1;1;0;3;2;3;3;3;1;1;2;2;1;1;0;0;2;1;1;2;2;0;1;0;2;1;2;1
south_EU;5;0;2;2;1;1;0;0;0;5;100;3;3;1;1;10;1;2;1;3;0;?;?;?;?;1;0;1;1;1;3;3;3;3;1;2;2;1;1;2;0;0;1;2;1;2;2;2;?;?;?;?;1;3;0
south_EU;1;1;3;3;0;1;0;0;0;3;30;3;2;?;1;4;1;2;1;3;1;1;1;0;1;0;1;1;1;0;2;3;1;2;3;2;2;1;2;1;0;0;1;2;1;3;3;?;1;1;0;1;?;4;1
south_EU;3;?;2;4;0;1;0;0;0;1;0;2;2;0;0;0;?;?;1;2;0;?;?;?;?;?;?;?;?;?;?;?;?;?;3;3;1;1;1;1;?;?;?;2;1;1;1;?;0;0;1;1;1;1;0
south_EU;4;0;2;5;0;0;0;1;0;3;100;1;2;?;1;20;1;2;1;3;0;0;1;0;1;1;0;1;?;?;3;3;3;3;2;3;1;2;1;2;0;0;1;2;1;2;2;2;1;0;1;?;1;3;0
south_EU;2;0;4;5;0;0;0;1;0;3;100;1;2;?;1;20;1;3;1;3;0;1;0;0;1;1;?;?;?;?;3;3;3;3;3;3;2;2;2;?;0;0;1;?;?;2;2;?;1;0;1;?;1;2;0
south_EU;2;0;2;3;1;0;1;0;0;3;100;3;3;1;1;15;1;3;1;1;0;?;?;?;2;1;1;1;0;1;3;2;3;1;2;2;2;2;2;2;0;0;1;2;1;2;2;?;1;0;0;1;1;3;0
south_EU;1;0;2;4;1;0;1;0;0;2;100;3;1;1;1;9;1;3;1;2;0;?;?;?;2;1;1;1;0;1;3;2;3;2;3;2;2;2;2;2;0;0;1;2;1;2;2;?;1;0;0;1;1;3;0
south_EU;2;1;2;4;1;1;0;0;0;2;30;2;2;1;1;8;1;1;1;3;1;1;0;0;1;1;0;1;0;1;3;3;1;3;3;2;2;2;1;2;0;0;1;2;1;3;2;1;1;0;0;2;1;4;1
south_EU;5;1;2;4;1;0;1;0;0;2;90;3;3;1;1;10;1;2;1;2;1;1;0;0;1;1;0;1;0;1;3;2;1;2;2;3;2;1;1;2;1;0;0;3;1;3;2;2;0;0;1;1;2;4;1
south_EU;3;1;1;5;1;0;1;0;0;1;100;3;1;1;1;20;1;2;1;3;0;?;?;?;1;1;1;1;?;?;3;3;2;3;3;3;2;1;2;2;0;0;1;1;?;2;2;?;?;?;?;1;1;3;0
south_EU;5;1;2;5;1;0;1;0;0;5;100;3;3;1;1;20;1;2;1;3;0;1;0;1;1;0;0;1;1;0;2;3;1;2;1;2;2;2;2;2;0;0;1;2;1;3;3;2;0;1;0;1;2;3;1
south_EU;2;1;3;3;1;1;0;0;0;1;2;3;1;1;1;5;1;1;1;3;1;1;1;0;1;1;0;1;1;0;3;2;2;2;2;2;1;2;2;2;0;0;1;2;1;2;2;2;1;0;0;2;2;3;1
south_EU;4;1;2;5;0;0;1;1;0;1;100;3;2;1;1;20;1;2;1;3;0;?;?;?;1;1;1;0;1;0;3;2;3;2;3;3;3;1;2;2;0;0;1;1;?;1;2;?;?;?;?;2;2;4;0
south_EU;2;1;2;5;1;1;0;0;0;4;100;3;1;1;1;5;1;2;1;2;0;1;1;0;2;1;0;1;0;1;3;2;2;2;2;2;2;1;1;2;0;0;1;3;1;3;2;2;0;1;0;2;2;3;1
south_EU;2;1;2;4;0;0;1;0;0;2;100;2;2;0;1;10;1;2;1;3;1;1;0;1;1;1;0;1;1;0;3;3;3;3;2;2;2;1;2;2;1;0;0;2;1;2;2;2;1;0;0;2;2;3;1
south_EU;3;1;2;4;1;0;1;0;0;3;100;3;1;0;1;15;1;2;1;3;0;?;?;?;1;1;1;0;1;0;3;3;2;2;3;2;2;2;2;2;0;0;1;2;1;2;3;1;0;1;0;1;1;4;0
south_EU;3;1;2;5;1;1;0;0;0;3;100;2;2;1;1;10;1;2;1;2;0;1;0;0;1;1;0;1;0;1;3;3;2;3;2;2;2;2;2;2;1;0;0;2;0;3;3;1;0;1;0;1;2;4;1
south_EU;3;1;2;5;0;1;0;0;0;5;30;3;2;1;1;0;1;2;1;3;1;1;1;0;1;1;1;0;1;0;3;3;3;3;3;2;2;2;2;2;1;0;0;3;1;3;2;2;0;1;0;2;2;4;1
south_EU;2;0;4;2;0;0;0;0;1;1;10;1;2;0;1;6;1;3;1;1;0;1;0;0;1;1;0;1;1;0;3;1;2;3;1;3;2;1;1;2;1;0;0;3;1;3;2;2;?;?;?;?;1;4;0
central_EU;4;1;2;5;1;1;0;0;0;5;100;1;1;1;1;6;1;3;1;2;1;1;1;1;1;0;1;1;1;0;2;3;1;1;2;2;2;1;2;2;0;0;1;3;1;3;1;2;1;0;1;2;3;4;1
