,Age_Cat,Gender_1male,Degree_Cat,Farm_size_Cat,Income_Cat,Legislative_requirements,Already_used_DSS,DSS_are_more_suited_for_ShortTermDecision_1,DSS_are_more_suited_for_LongTermDecision_2,Trust_in_DSS_1to3,DSS_can_improve_your_productivity_Cat,Manufacturer_demo_of_DSS_Cat,Region_central_EU,Region_north_EU,Region_south_EU,clusters
2,2,1,2,5,2,1,0,1,0,2,3,2,0,0,1,0
3,2,1,2,4,5,1,0,0,1,1,3,1,0,0,1,0
4,2,1,2,5,5,1,1,1,0,1,3,2,0,0,1,0
5,1,1,2,2,1,0,1,1,0,1,2,2,0,0,1,0
6,1,1,2,3,1,0,1,1,0,2,3,1,0,0,1,0
7,2,1,4,5,2,0,1,0,1,1,4,2,0,0,1,0
9,3,1,2,4,3,1,0,1,0,1,2,2,0,0,1,0
10,5,1,4,5,3,1,0,1,1,1,3,2,0,0,1,0
11,4,1,2,4,1,1,0,0,1,1,2,1,0,0,1,0
12,4,1,1,4,5,1,0,0,1,1,3,1,0,0,1,0
13,2,1,4,5,4,1,0,0,1,1,2,1,0,0,1,0
14,2,1,3,4,1,0,1,1,0,1,3,1,0,0,1,0
15,2,1,2,4,3,1,0,0,1,1,2,1,0,0,1,0
16,2,1,2,4,5,1,1,0,1,1,3,2,0,0,1,0
17,3,1,2,5,5,1,1,0,1,1,2,1,0,0,1,0
18,5,0,2,2,5,1,0,0,1,2,3,1,0,0,1,0
23,2,0,2,3,3,1,0,1,1,2,3,1,0,0,1,0
24,1,0,2,4,2,1,0,1,1,2,3,1,0,0,1,0
25,2,1,2,4,2,1,1,0,1,2,4,1,0,0,1,0
26,5,1,2,4,2,1,1,0,1,2,4,2,0,0,1,0
27,3,1,1,5,1,1,0,1,1,2,3,1,0,0,1,0
28,5,1,2,5,5,1,1,0,1,2,3,2,0,0,1,0
29,2,1,3,3,1,1,1,0,1,1,3,2,0,0,1,0
30,4,1,2,5,1,1,0,1,0,3,4,2,0,0,1,0
31,2,1,2,5,4,1,1,0,1,2,3,2,0,0,1,0
32,2,1,2,4,2,0,1,0,1,2,3,2,0,0,1,0
33,3,1,2,4,3,0,0,1,0,2,4,1,0,0,1,0
34,3,1,2,5,3,1,1,0,1,2,4,2,0,0,1,0
35,3,1,2,5,5,1,1,1,0,2,4,2,0,0,1,0
36,2,0,4,2,1,0,0,0,1,2,4,1,0,0,1,0
37,4,1,2,5,5,1,1,1,1,2,4,3,1,0,0,2
38,4,1,3,5,5,1,1,1,0,2,3,2,1,0,0,2
39,2,1,4,5,3,1,1,1,0,2,3,1,1,0,0,2
40,4,1,3,5,4,1,1,1,1,2,3,2,1,0,0,2
41,4,1,4,5,3,1,1,1,0,2,3,2,1,0,0,2
42,4,1,2,5,4,1,1,0,1,2,4,2,1,0,0,2
43,4,1,4,4,1,1,1,1,0,2,3,2,1,0,0,2
44,3,1,1,4,2,1,1,1,0,1,3,2,1,0,0,2
45,3,0,3,1,2,0,1,1,1,1,3,2,1,0,0,2
46,4,1,2,5,3,1,1,1,0,1,3,1,0,1,0,1
47,5,1,3,5,3,1,0,1,0,3,3,1,0,1,0,1
48,5,1,2,5,2,1,1,1,0,1,3,1,0,1,0,1
49,5,1,3,5,4,1,1,1,0,1,3,2,0,1,0,1
50,5,1,4,5,5,1,1,1,0,2,3,2,0,1,0,1
51,5,1,2,5,2,1,0,1,0,1,3,1,0,1,0,1
52,4,1,3,5,3,1,1,0,1,2,4,2,0,1,0,1
53,2,1,1,5,5,1,1,1,0,2,3,1,0,1,0,1
54,2,1,4,5,4,1,1,0,1,2,4,1,0,1,0,1
55,4,1,2,5,3,1,1,1,0,1,3,1,0,1,0,1
57,2,1,5,5,5,1,1,1,1,2,3,1,1,0,0,2
58,3,1,5,1,1,1,1,1,0,2,4,2,1,0,0,2
59,3,0,5,1,1,1,1,1,1,2,3,2,1,0,0,2
60,1,0,3,2,1,1,0,0,1,2,3,2,1,0,0,2
62,3,0,2,3,4,1,1,0,1,2,3,1,1,0,0,2
64,4,1,5,1,1,0,1,1,0,1,3,2,1,0,0,2
66,2,0,3,3,1,1,0,0,1,1,3,1,1,0,0,2
67,4,0,3,1,1,0,0,1,0,3,4,1,1,0,0,2
68,3,0,4,1,1,1,1,1,1,3,4,2,1,0,0,2
70,3,1,5,1,1,1,0,1,1,1,3,2,1,0,0,2
71,4,1,4,5,5,0,1,1,0,2,3,3,1,0,0,2
72,3,1,3,5,5,1,1,0,1,2,4,2,1,0,0,2
