,Age_Cat,Gender_1male,Degree_Cat,Farm_size_Cat,Income_Cat,Legislative_requirements,Computer_at_home,Speed_internet_Cat,How_do_you_access_DSS_Cat,Willing_to_try_new_products_Cat,Price_important_factor,Importance_of_easy_to_use_1to3,Importance_low_price_1to3,Importance_polyvalence_1to3,Enjoy_using_new_techs_1to3,Appreciate_change_1to3,Need_IT_teaching_Cat,Share_DSS_exp_with_colleague_Cat,WTP_for_DSS_Cat,DSS_must_be_tailored_for_your_farm_Cat,Manufacturer_demo_of_DSS_Cat,Region_central_EU,Region_north_EU,Region_south_EU,clusters
2,2,1,2,5,2,1,1,2,1,1,1,3,2,3,1,1,2,1,2,2,2,0,0,1,0
4,2,1,2,5,5,1,1,2,3,1,1,3,1,2,2,1,2,3,3,2,2,0,0,1,0
5,1,1,2,2,1,0,1,3,2,2,1,3,3,3,2,2,1,2,2,3,2,0,0,1,0
6,1,1,2,3,1,0,1,2,2,2,1,2,2,2,3,2,2,2,2,1,1,0,0,1,0
7,2,1,4,5,2,0,1,3,3,2,1,3,2,1,3,2,2,1,2,2,2,0,0,1,0
9,3,1,2,4,3,1,1,3,1,2,1,3,3,3,2,1,2,2,2,2,2,0,0,1,0
11,4,1,2,4,1,1,1,3,1,2,1,1,1,2,3,3,1,2,1,2,1,0,0,1,0
12,4,1,1,4,5,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,1,0,0,1,0
13,2,1,4,5,4,1,1,2,1,2,1,3,2,2,1,2,2,2,1,1,1,0,0,1,0
14,2,1,3,4,1,0,1,3,3,2,1,3,2,3,2,1,2,2,2,1,1,0,0,1,0
16,2,1,2,4,5,1,1,3,3,1,1,3,3,3,2,2,2,3,1,3,2,0,0,1,0
17,3,1,2,5,5,1,1,1,3,2,1,3,3,3,3,1,1,2,1,2,1,0,0,1,0
23,2,0,2,3,3,1,1,1,1,2,1,3,3,1,2,2,2,2,2,2,1,0,0,1,0
24,1,0,2,4,2,1,1,2,1,2,1,3,3,2,3,2,2,2,2,2,1,0,0,1,0
25,2,1,2,4,2,1,1,3,3,1,1,3,1,3,3,2,2,2,3,2,1,0,0,1,0
26,5,1,2,4,2,1,1,2,3,1,1,3,1,2,2,3,2,3,3,2,2,0,0,1,0
27,3,1,1,5,1,1,1,3,1,1,1,3,2,3,3,3,2,1,2,2,1,0,0,1,0
28,5,1,2,5,5,1,1,3,2,1,0,2,1,2,1,2,2,2,3,3,2,0,0,1,0
29,2,1,3,3,1,1,1,3,3,1,1,3,2,2,2,2,2,2,2,2,2,0,0,1,0
30,4,1,2,5,1,1,1,3,1,1,1,3,3,2,3,3,2,1,1,2,2,0,0,1,0
31,2,1,2,5,4,1,1,2,2,2,1,3,2,2,2,2,2,3,3,2,2,0,0,1,0
32,2,1,2,4,2,0,1,3,3,1,1,3,3,3,2,2,2,2,2,2,2,0,0,1,0
33,3,1,2,4,3,0,1,3,1,1,1,3,2,2,3,2,2,2,2,3,1,0,0,1,0
34,3,1,2,5,3,1,1,2,2,1,1,3,2,3,2,2,2,2,3,3,2,0,0,1,0
35,3,1,2,5,5,1,1,3,3,1,1,3,3,3,3,2,2,3,3,2,2,0,0,1,0
36,2,0,4,2,1,0,1,1,1,1,1,3,2,3,1,3,2,3,3,2,1,0,0,1,0
37,4,1,2,5,5,1,1,2,3,1,0,2,1,1,2,2,2,3,3,1,3,1,0,0,1
38,4,1,3,5,5,1,1,3,3,1,1,2,1,3,2,1,3,3,3,2,2,1,0,0,1
39,2,1,4,5,3,1,1,3,3,1,1,2,1,3,3,2,1,2,3,2,1,1,0,0,1
40,4,1,3,5,4,1,1,2,2,1,1,2,1,2,3,2,2,2,3,2,2,1,0,0,1
41,4,1,4,5,3,1,1,3,3,1,1,2,2,2,2,2,2,2,3,2,2,1,0,0,1
42,4,1,2,5,4,1,1,1,3,1,1,3,2,3,2,2,2,2,3,2,2,1,0,0,1
43,4,1,4,4,1,1,1,2,3,1,1,3,2,2,2,1,1,2,2,3,2,1,0,0,1
44,3,1,1,4,2,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,2,1,0,0,1
45,3,0,3,1,2,0,1,2,3,1,1,3,2,1,1,1,2,2,2,2,2,1,0,0,1
46,4,1,2,5,3,1,1,1,3,2,1,3,2,2,2,2,2,2,3,2,1,0,1,0,2
48,5,1,2,5,2,1,1,2,2,1,1,3,1,1,1,1,3,2,2,2,1,0,1,0,2
49,5,1,3,5,4,1,1,3,3,1,0,2,1,3,3,2,2,2,3,2,2,0,1,0,2
50,5,1,4,5,5,1,1,3,3,1,1,2,1,2,2,2,2,2,3,2,2,0,1,0,2
51,5,1,2,5,2,1,1,3,1,1,1,1,1,1,1,1,2,3,3,2,1,0,1,0,2
52,4,1,3,5,3,1,1,3,3,1,1,3,1,1,3,3,2,2,3,1,2,0,1,0,2
53,2,1,1,5,5,1,1,2,2,2,1,3,2,2,2,2,2,3,3,2,1,0,1,0,2
54,2,1,4,5,4,1,1,3,3,1,1,2,2,1,2,2,1,1,2,1,1,0,1,0,2
55,4,1,2,5,3,1,1,3,3,1,1,3,1,3,2,2,2,2,3,2,1,0,1,0,2
57,2,1,5,5,5,1,1,3,3,1,0,2,1,3,3,2,1,2,3,2,1,1,0,0,1
58,3,1,5,1,1,1,1,3,3,1,1,2,2,3,3,1,2,3,3,2,2,1,0,0,1
59,3,0,5,1,1,1,1,3,3,1,1,3,3,3,1,1,2,2,1,2,2,1,0,0,1
62,3,0,2,3,4,1,1,2,2,1,1,3,2,3,2,2,2,2,2,1,1,1,0,0,1
64,4,1,5,1,1,0,1,2,3,1,1,3,2,2,1,1,2,2,1,1,2,1,0,0,1
65,4,1,2,1,1,1,1,3,3,1,1,3,3,3,1,1,3,2,1,2,2,1,0,0,1
66,2,0,3,3,1,1,1,1,1,2,1,2,2,2,1,1,2,3,3,3,1,1,0,0,1
68,3,0,4,1,1,1,1,2,3,1,1,3,1,3,1,2,2,2,3,2,2,1,0,0,1
70,3,1,5,1,1,1,1,3,1,1,1,3,3,3,1,2,2,2,1,3,2,1,0,0,1
71,4,1,4,5,5,0,1,2,3,1,1,2,2,1,2,2,2,3,3,2,3,1,0,0,1
72,3,1,3,5,5,1,1,3,3,1,1,3,2,3,2,2,1,2,3,2,2,1,0,0,1
73,4,1,2,5,5,1,1,2,3,1,1,2,2,3,2,3,1,4,3,2,2,1,0,0,1
74,3,1,1,5,4,1,1,1,3,2,1,3,2,1,2,2,1,3,3,2,2,1,0,0,1
75,4,1,3,5,2,1,1,3,3,1,1,2,1,2,2,2,1,2,2,2,1,1,0,0,1
77,3,1,2,5,5,1,1,3,1,1,1,3,2,3,3,2,2,3,2,2,2,1,0,0,1
78,4,1,2,5,5,1,1,2,1,2,0,3,1,2,1,1,2,2,3,3,1,1,0,0,1
79,2,1,2,5,3,0,1,3,1,1,0,3,1,1,1,1,2,2,3,2,1,1,0,0,1
81,2,1,2,5,5,1,1,3,3,1,1,3,2,3,3,2,1,2,2,2,2,1,0,0,1
82,3,1,2,3,5,1,1,3,3,1,1,3,1,2,3,3,1,3,3,2,2,0,1,0,2
84,4,1,2,3,5,1,1,3,2,2,0,3,1,2,2,2,2,1,3,1,2,0,1,0,2
85,4,1,2,3,5,1,1,3,3,1,1,3,2,2,2,2,2,4,3,1,3,0,1,0,2
86,4,1,3,3,3,1,1,2,3,1,1,3,1,2,3,3,2,2,2,3,2,0,0,1,0
88,4,1,3,3,3,1,1,2,3,1,1,3,3,3,2,2,2,3,3,3,2,0,0,1,0
89,4,0,4,3,2,1,1,2,3,1,1,3,1,3,2,1,2,2,2,3,2,0,0,1,0
90,3,1,4,3,1,1,1,3,3,1,1,3,3,2,2,1,1,2,2,2,2,0,0,1,0
92,3,1,2,5,1,0,1,2,2,2,1,3,3,3,1,1,2,2,2,2,1,1,0,0,1
105,1,1,2,5,1,0,1,3,2,1,0,2,2,2,3,3,1,3,1,1,1,0,1,0,2
106,2,1,4,5,3,1,1,3,1,1,1,3,2,2,3,3,1,3,3,2,3,0,1,0,2
107,4,1,4,5,5,1,1,3,3,1,0,2,2,3,3,3,2,2,3,2,2,0,1,0,2
108,4,1,3,5,5,1,1,3,1,1,1,3,2,3,2,3,2,1,2,2,2,0,1,0,2
109,2,1,3,5,5,1,1,3,1,2,1,3,2,3,3,3,1,1,3,2,2,0,1,0,2
110,1,1,3,4,2,1,1,1,2,1,1,3,1,3,3,2,1,2,3,3,1,0,1,0,2
111,1,1,3,3,1,1,1,3,1,1,1,3,1,3,3,2,2,1,2,2,2,0,1,0,2
112,3,0,5,4,2,1,1,2,2,1,1,2,3,3,2,2,1,2,2,2,2,0,1,0,2
113,1,0,1,4,3,1,1,3,3,1,1,3,1,3,3,3,1,3,3,2,1,0,1,0,2
114,2,1,4,5,5,1,1,3,3,1,1,3,1,3,2,2,1,2,3,3,1,0,1,0,2
115,3,1,3,5,5,1,1,2,1,1,1,3,1,2,2,1,1,3,3,2,2,0,1,0,2
116,3,1,3,5,5,1,1,3,3,1,1,3,1,3,2,2,2,2,2,2,2,0,1,0,2
117,2,0,4,5,2,1,1,2,2,1,1,3,2,3,2,1,1,3,2,2,2,0,1,0,2
118,3,1,4,5,4,1,1,3,3,1,1,2,2,3,2,2,1,3,2,2,1,0,1,0,2
119,3,1,4,5,5,1,1,3,3,1,1,3,1,2,2,2,1,3,3,2,3,0,1,0,2
120,4,1,4,4,2,1,1,2,3,1,1,3,3,3,1,1,2,2,1,3,1,0,1,0,2
121,3,1,3,5,3,1,1,3,2,1,1,3,2,3,1,2,2,3,2,3,2,0,1,0,2
122,3,1,3,5,4,1,1,3,3,1,1,3,2,3,2,2,1,3,2,2,2,0,1,0,2
123,3,1,3,4,2,1,1,3,3,1,1,3,2,2,2,1,1,3,3,3,2,1,0,0,1
124,5,1,3,5,3,1,1,3,3,1,1,3,2,2,2,2,1,2,3,2,2,1,0,0,1
126,4,1,2,5,2,1,1,1,3,2,1,3,1,2,2,2,2,2,3,3,2,1,0,0,1
128,1,1,2,1,1,0,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,0,0,1,0
135,3,1,2,3,3,0,1,2,3,1,1,2,1,2,1,1,2,2,2,1,1,0,0,1,0
137,1,1,1,5,4,0,1,3,2,1,0,1,1,2,2,1,2,1,3,2,2,0,0,1,0
148,2,1,3,5,2,1,1,2,3,1,1,1,2,3,2,2,2,3,2,2,1,0,0,1,0
